yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentage,UBO_date,UBO_start_time,UBO_end_time,UBO_start_capped,UBO_end_uncapped,UBO_percentile,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Camisa,,45,16,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,37,0.7628,,,,,,,,,1,0,0.333333333,0,,,,,,,,,,
Camisa,,47,14,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,3,157,62,0.6051,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,59,2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,13,147,48,0.6735,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,60,9,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,12,148,70,0.527,,,,,,,,,1,0,0.333333333,0,,,,,,Incomplete (pupae partially alive after HB test- needs re-do),,,,
Yandow,,61,UVM1,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,38,122,21,0.8279,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,62,UVM2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,0,160,117,0.2688,,,,,,,,,0,0,0,0,,,,,,Incomplete,,,,
Yandow,,63,UVM3,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,6,154,82,0.4675,,,,,,,,,0,0,0,0,,,,,,successful freeze,,,,
Yandow,,64,UVM4,,6/25/21,2,2021,,,,,,,,,,,SWMD ?,,6/23/21,6/25/21,18,142,81,0.4296,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,65,24,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,13,147,64,0.5646,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,66,UVM5,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,78,0.4658,,,,,,,,,0,0,0,0,,,,,,Incomplete,,,,
Allard,,56,25,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,15,145,29,0.8,,,,,,,,,0,1,0,50000,,,,,,,,,,
Allard,,49,14,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,9,151,26,0.8278,,,,,,,,,2,0,0.666666667,0,,,,,,,,,,
Allard,,55,20,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,13,147,69,0.5306,,,,,,,,,14,0,4.666666667,0,,,,,,,,,,
Allard,,58,7,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,84,0.4615,,,,,,,,,3,0,1,0,,,,,,,,,,
Allard,,50,8,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,17,143,44,0.6923,,,,,,,,,2,0,0.666666667,0,,,,,,,,,,
